order.date,order.id,order.line,state,quantity,price,extended_price,category_1,category_2,frame_material,bikeshop.name
2011-01-07,1,1,NY,1,6070,6070,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers
2011-01-07,1,2,NY,1,5970,5970,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers
2011-01-10,2,1,KS,1,2770,2770,Mountain,Trail,Aluminum,Kansas City 29ers
2011-01-10,2,2,KS,1,5970,5970,Mountain,Over Mountain,Carbon,Kansas City 29ers
2011-01-10,3,1,KY,1,10660,10660,Road,Elite Road,Carbon,Louisville Race Equipment
2011-01-10,3,2,KY,1,3200,3200,Mountain,Over Mountain,Carbon,Louisville Race Equipment
2011-01-10,3,3,KY,1,12790,12790,Road,Elite Road,Carbon,Louisville Race Equipment
2011-01-10,3,4,KY,1,5330,5330,Road,Elite Road,Carbon,Louisville Race Equipment
2011-01-10,3,5,KY,1,1570,1570,Road,Endurance Road,Aluminum,Louisville Race Equipment
2011-01-11,4,1,MI,1,4800,4800,Road,Endurance Road,Carbon,Ann Arbor Speed
2011-01-11,5,1,CO,1,480,480,Mountain,Sport,Aluminum,Denver Bike Shop
2011-01-11,5,2,CO,2,11190,22380,Mountain,Cross Country Race,Carbon,Denver Bike Shop
2011-01-11,5,3,CO,1,1250,1250,Road,Endurance Road,Aluminum,Denver Bike Shop
2011-01-11,5,4,CO,1,2060,2060,Mountain,Cross Country Race,Aluminum,Denver Bike Shop
2011-01-11,6,1,AZ,1,1960,1960,Road,Cyclocross,Carbon,Phoenix Bi-peds
2011-01-11,6,2,AZ,1,4500,4500,Road,Triathalon,Carbon,Phoenix Bi-peds
2011-01-11,6,3,AZ,1,2340,2340,Mountain,Trail,Aluminum,Phoenix Bi-peds
2011-01-11,6,4,AZ,1,2240,2240,Road,Endurance Road,Carbon,Phoenix Bi-peds
2011-01-12,7,1,MN,1,10660,10660,Road,Elite Road,Carbon,Minneapolis Bike Shop
2011-01-12,7,2,MN,1,2240,2240,Road,Elite Road,Aluminum,Minneapolis Bike Shop
2011-01-12,7,3,MN,1,1840,1840,Road,Elite Road,Carbon,Minneapolis Bike Shop
2011-01-12,7,4,MN,1,3200,3200,Mountain,Cross Country Race,Aluminum,Minneapolis Bike Shop
2011-01-12,7,5,MN,1,2340,2340,Mountain,Trail,Aluminum,Minneapolis Bike Shop
2011-01-12,7,6,MN,1,12790,12790,Mountain,Cross Country Race,Carbon,Minneapolis Bike Shop
2011-01-12,7,7,MN,1,3200,3200,Road,Elite Road,Carbon,Minneapolis Bike Shop
2011-01-12,7,8,MN,1,9060,9060,Mountain,Cross Country Race,Carbon,Minneapolis Bike Shop
2011-01-12,7,9,MN,1,3200,3200,Mountain,Cross Country Race,Aluminum,Minneapolis Bike Shop
2011-01-12,7,10,MN,2,1410,2820,Road,Elite Road,Aluminum,Minneapolis Bike Shop
2011-01-12,7,11,MN,1,480,480,Mountain,Sport,Aluminum,Minneapolis Bike Shop
2011-01-12,7,12,MN,1,1950,1950,Road,Triathalon,Carbon,Minneapolis Bike Shop
2011-01-12,7,13,MN,1,9060,9060,Mountain,Cross Country Race,Carbon,Minneapolis Bike Shop
2011-01-12,7,14,MN,2,815,1630,Mountain,Sport,Aluminum,Minneapolis Bike Shop
2011-01-12,8,1,AZ,1,1250,1250,Road,Endurance Road,Aluminum,Phoenix Bi-peds
2011-01-12,8,2,AZ,3,480,1440,Mountain,Sport,Aluminum,Phoenix Bi-peds
2011-01-17,9,1,LA,1,2660,2660,Road,Endurance Road,Carbon,New Orleans Velocipedes
2011-01-17,9,2,LA,2,3200,6400,Road,Elite Road,Aluminum,New Orleans Velocipedes
2011-01-17,9,3,LA,1,1410,1410,Road,Elite Road,Aluminum,New Orleans Velocipedes
2011-01-17,9,4,LA,1,1950,1950,Road,Elite Road,Aluminum,New Orleans Velocipedes
2011-01-17,9,5,LA,5,1030,5150,Road,Endurance Road,Aluminum,New Orleans Velocipedes
2011-01-17,10,1,OR,1,1250,1250,Road,Elite Road,Aluminum,Portland Bi-peds
2011-01-18,11,1,CA,1,5860,5860,Road,Elite Road,Aluminum,San Francisco Cruisers
